10_Digit_BBL,Street_Number,Street_Name,DOF_Gross_Square_Footage,Energy_Efficiency_Grade,Energy_Star_1-100_Score
1007610020,325,WEST 37 STREET,48843,A,100
1007610022,313,WEST 37 STREET,82354,C,62
1007610028,307,WEST 37 STREET,102824,B,79
1007610033,545,8 AVENUE,166874,A,86
1007610037,555,8 AVENUE,162260,A,100
1007610043,320,WEST 38 STREET,718503,D,22
1007610053,330,WEST 38 STREET,180064,A,95
1007610059,344,WEST 38 STREET,95402,A,85
1007620016,333,WEST 38 STREET,35219,B,80
1007620019,325,WEST 38 STREET,110188,A,93
1000050010,115,BROAD STREET,1016406,A,91
1000057501,125,BROAD STREET,1354691,A,85
1000080051,6,WATER STREET,102407,D,26
1000087501,39,WHITEHALL STREET,169061,D,32
1000090001,34,WHITEHALL STREET,692431,B,83
1000090014,17,STATE STREET,544015,B,75
1000090029,24,STATE STREET,896956,C,56
1000100014,33,WHITEHALL STREET,365792,B,82
1000100016,90,BROAD STREET,336025,B,79
1000100023,1,WHITEHALL STREET,321994,A,87
1000110021,80,BROAD STREET,361710,B,80
1000130001,1,BROADWAY,180646,A,87
1000130005,11,BROADWAY,434220,A,92
1000130027,25,BROADWAY,809401,C,65
1000150022,21,WEST STREET,335746,D,29
1000157501,17,BATTERY PLACE,1402831,B,81
1000157502,20,WEST STREET,259076,B,78
1000160015,50,BATTERY PLACE,239165,B,80
1000160020,70,BATTERY PLACE,230765,B,82
1000160100,345,SOUTH END AVENUE,1881621,B,72
1000160120,200,LIBERTY STREET,1501878,A,86
1000160125,225,LIBERTY STREET,2267925,B,77
1000160150,250,VESEY STREET,2084079,A,85
1000160180,20,RIVER TERRACE,356786,D,35
1000160185,211,NORTH END AVENUE,283905,D,11
1000160205,455,NORTH END AVENUE,239185,D,1
1000160210,399,CHAMBERS STREET,357000,B,76
1000160221,450,NORTH END AVENUE,244617,D,26
1000160225,1,NORTH END AVENUE,502000,B,83
1000167501,377,RECTOR PLACE,220821,B,71
1000167502,320,ALBANY STREET,150855,B,78
1000167503,250,SOUTH END AVENUE,106052,D,44
1000167504,300,ALBANY STREET,91774,C,62
1000167507,300,RECTOR PLACE,129176,B,84
1000167513,10,LITTLE WEST STREET,562340,B,77
1000167515,225,RECTOR PLACE,287819,A,96
1000167516,2,RIVER TERRACE,531665,D,35
1000167517,70,BATTERY PLACE,508458,D,4
1000167520,200,NORTH END AVENUE,425407,D,31
1000167521,212,WARREN STREET,335784,C,69
1000167522,400,CHAMBERS STREET,360656,D,32
1000177501,50,WEST STREET,427177,D,45
1000187501,13,RECTOR STREET,366993,D,16
1000200004,39,BROADWAY,447452,B,84
1000200009,45,BROADWAY,368315,B,77
1000200016,55,BROADWAY,309381,B,78
1000210001,61,BROADWAY,650740,A,85
1000210004,65,BROADWAY,335184,A,87
1000210006,71,BROADWAY,303086,B,82
1000220013,26,BROADWAY,860889,A,97
1000220017,32,BROADWAY,143000,D,45
1000220020,42,BROADWAY,389927,B,83
1000220024,50,BROADWAY,300676,A,85
1000220028,52,BROADWAY,345540,B,70
1000230050,20,BROAD STREET,466820,A,93
1000240001,60,BROAD STREET,974958,C,69
1000240029,30,BROAD STREET,370000,A,91
1000240036,50,BROAD STREET,205940,B,80
1000247501,40,BROAD STREET,319910,D,24
1000250001,55,BROAD STREET,406025,C,60
1000250010,41,BROAD STREET,91553,D,3
1000250027,40,EXCHANGE PLACE,239071,A,89
1000257501,15,WILLIAM STREET,530168,B,81
1000257502,25,BROAD STREET,433463,D,42
1000260021,45,WALL STREET,493187,D,48
1000267501,15,BROAD STREET,944252,C,63
1000270009,63,WALL STREET,400531,D,40
1000270017,67,WALL STREET,305271,D,40
1000277502,20,EXCHANGE PLACE,786942,A,91
1000280001,3,HANOVER SQUARE,239121,D,14
1000280005,5,HANOVER SQUARE,292466,D,53
1000280012,76,BEAVER STREET,95325,B,83
1000287501,82,BEAVER STREET,108373,D,4
1000290001,85,BROAD STREET,1007569,B,80
1000290036,1,WILLIAM STREET,105000,B,71
1000290070,75,BROAD STREET,661283,D,52
1000297503,21,SOUTH WILLIAM STREET,25483,D,1
1000307501,7,HANOVER SQUARE,806170,A,88
1000310001,10,HANOVER SQUARE,487404,D,31
1000317501,75,WALL STREET,683289,D,49
1000327501,43,WATER STREET,3678000,B,78
1000330001,77,WATER STREET,541568,D,54
1000330011,95,WALL STREET,473460,D,15
1000337501,99,WALL STREET,106598,D,24
1000350001,77,FRONT STREET,973587,B,75
1000370013,129,FRONT STREET,34613,C,66
1000370023,180,MAIDEN LANE,1079361,B,72
1000380001,100,WALL STREET,463664,C,65
1000380017,88,PINE STREET,664990,B,77
1000390012,110,MAIDEN LANE,1104184,D,18